id,source_name,author,title,description,url,url_to_image,published_at,content
fox-news,Fox News,,US cleared to use British bases for limited strikes on Iranian missile capabilities,"The U.K. has authorized American use of its bases for Iran missile operations, while the Royal Air Force intercepts Iranian drones threatening Qatar and Cyprus.",https://www.foxnews.com/world/us-cleared-use-british-bases-limited-strikes-iranian-missile-capabilities,https://static.foxnews.com/foxnews.com/content/uploads/2026/02/british-prime-minister-keir-starmer-february-24-2026.jpg,2026-03-02T02:32:39Z,"The U.S. has been cleared to use British bases for limited strikes on Irans missile capabilities after Prime Minister Keir Starmer signed off on the plan, and while U.K. Defense Secretary John Healey… [+2537 chars]"
al-jazeera-english,Al Jazeera English,,Israel bombs Beirut after Hezbollah fires rockets in Iran war retaliation,Israel has carried out heavy strikes in the southern suburbs of Lebanon’s capital Beirut.,https://www.aljazeera.com/video/newsfeed/2026/3/2/israel-bombs-beirut-after-hezbollah-fires-rockets-in-iran-war-retaliation,https://www.aljazeera.com/wp-content/uploads/2026/03/image-1772418731.jpg?resize=1676%2C1080&quality=80,2026-03-02T02:32:17Z,NewsFeed Israel has carried out heavy strikes in the southern suburbs of Lebanons capital Beirut after Hezbollah launched an attack on northern Israel in retaliation for the killing of Irans Supreme… [+20 chars]
fox-news,Fox News,,Over 50 arrested as anti-ICE protesters allegedly hurl rocks at Minneapolis officers during demonstration,"At least 54 protesters were arrested during an anti-ICE demonstration outside a Minneapolis federal building on Sunday, citing blocked roads and safety risks.",https://www.foxnews.com/us/over-50-arrested-anti-ice-protesters-allegedly-hurl-rocks-minneapolis-officers-during-demonstration,https://static.foxnews.com/foxnews.com/content/uploads/2026/03/anti-ice-protests-minnesota.jpg,2026-03-02T02:11:31Z,"At least 54 people were arrested Sunday during protests against Immigration and Customs Enforcement (ICE) outside the Bishop Henry Whipple Federal Building in Minneapolis, law enforcement officials s… [+2703 chars]"
bbc-news,BBC News,,02/03/2026 02:01 GMT,The latest five minute news bulletin from BBC World Service.,https://www.bbc.co.uk/programmes/w172zwx4wqj7sqf,https://ichef.bbci.co.uk/images/ic/1200x675/p060dh18.jpg,2026-03-02T02:06:00Z,The latest five minute news bulletin from BBC World Service.
bbc-news,BBC News,,Rugby Union Weekly,Danny and Chris look ahead to a huge week for England in Rome.,https://www.bbc.co.uk/sounds/play/p0n42k9g,https://ichef.bbci.co.uk/images/ic/1024x576/p0lwzcxx.jpg,2026-03-02T02:00:00Z,Available for over a year Danny and Chris look ahead to Englands showdown with Italy in Rome as they look to avoid a first defeat to the Azzurri and a third successive Six Nations loss. We hear from… [+503 chars]
fox-news,Fox News,,Deion Sanders mourns loss of Colorado quarterback Dominiq Ponder: 'One of my favorites',"Colorado Buffaloes quarterback Dominiq Ponder died this weekend at age 23, head coach Deion Sanders confirmed on Sunday in an emotional social media tribute.",https://www.foxnews.com/sports/deion-sanders-mourns-loss-colorado-quarterback-dominiq-ponder-one-my-favorites,https://static.foxnews.com/foxnews.com/content/uploads/2026/03/dominiq-ponder.jpg,2026-03-02T01:52:16Z,"Colorado Buffaloes quarterback Dominiq Ponder died this weekend, the teams head coach Deion Sanders confirmed on Sunday with a social media post.  ""God please comfort the Ponder family, friends and … [+1744 chars]"
fox-news,Fox News,,Team USA captain Auston Matthews gets unexpected welcome from Leafs fans upon return to Toronto,Auston Matthews received a standing ovation from Toronto fans in his first home game since winning Olympic gold for Team USA against Canada in Milan.,https://www.foxnews.com/sports/team-usa-captain-auston-matthews-gets-unexpected-welcome-from-leafs-fans-upon-return-toronto,https://static.foxnews.com/foxnews.com/content/uploads/2026/03/auston-matthews-maple-leafs.jpg,2026-03-02T01:37:31Z,"Team USA mens hockey captain returned to his home ice in the NHL ScotiaBank Arena in Toronto and the Canadian faithful couldve made it a lot worse on him during his homecoming.  Matthews, who helped… [+2329 chars]"
al-jazeera-english,Al Jazeera English,,Netanyahu vows increasing strikes on Tehran,"Israel’s prime minister says strikes on Tehran will increase in the coming days, with US support.",https://www.aljazeera.com/video/newsfeed/2026/3/2/netanyahu-vows-increasing-strikes-on-tehran,https://www.aljazeera.com/wp-content/uploads/2026/03/image-1772415024.jpg?resize=1920%2C1080&quality=80,2026-03-02T01:30:49Z,"NewsFeed Israels prime minister says strikes on Tehran will increase in the coming days, with US support, to do what Benjamin Netanyahu says hes hoped to do for 40 years. Israel and the US killed Ir… [+55 chars]"
bbc-news,BBC News,BBC World Service,Kwan Pun Leung: The image creator of nature,"Shan Ng follows acclaimed Hong Kong and Taiwan cinematographer Kwan Pun Leung as he creates a new music video, Fragile Love. Known for his work on landmark films including In the Mood for Love and 2046, Kwan has built a reputation for crafting deeply poetic a…",https://www.bbc.co.uk/programmes/p0n3hmq1,https://ichef.bbci.co.uk/images/ic/1200x675/p0n38fwc.jpg,2026-03-02T01:30:00Z,"Shan Ng follows acclaimed Hong Kong and Taiwan cinematographer Kwan Pun Leung as he creates a new music video, Fragile Love. Known for his work on landmark films including In the Mood for Love and 20… [+638 chars]"
al-jazeera-english,Al Jazeera English,Joseph Stepansky,Poll suggests only a quarter of Americans support attacks on Iran,US lawmakers heap pressure on Trump following the first US soldier deaths after Khamenei's killing.,https://www.aljazeera.com/news/2026/3/2/poll-suggests-only-a-quarter-of-americans-support-attacks-on-iran,https://www.aljazeera.com/wp-content/uploads/2026/03/afp_69a4cbaa708f-1772407722.jpg?resize=1920%2C1440,2026-03-02T01:20:02Z,"A poll conducted in the hours after the United States and Israel launched a major military operation against Iran, sparking regional retaliation, shows dismal approval for the strikes from the US pub… [+4707 chars]"
